"sws.ol1","hapc.ol1","sws.ol2","hapc.ol2","sws.s","hapc.s","sws.d","hapc.d","simnumber"
0.543010752688172,0.580645161290323,0.876344086021505,0.741935483870968,0.865591397849462,0.725806451612903,-0.0462025658048008,-0.0119935501749501,1
0.225806451612903,0.424731182795699,0.505376344086022,0.78494623655914,0.693548387096774,0.736559139784946,-0.0534141859113168,-0.0126055532712659,2
0.161290322580645,0.548387096774194,0.344086021505376,0.779569892473118,0.709677419354839,0.698924731182796,0.0081804500229742,0.0111788341231674,3
0.225806451612903,0.623655913978495,0.290322580645161,0.817204301075269,0.698924731182796,0.774193548387097,0.0450775455994058,-0.020612783287495,4
0.39247311827957,0.698924731182796,0.612903225806452,0.870967741935484,0.827956989247312,0.774193548387097,-0.00947274701470901,0.0250685326609168,5
0.209677419354839,0.645161290322581,0.268817204301075,0.849462365591398,0.650537634408602,0.763440860215054,-0.0510372677326883,-0.0127367066722365,6
0.290322580645161,0.672043010752688,0.575268817204301,0.844086021505376,0.741935483870968,0.731182795698925,-0.0553837038261,-0.0306394197327224,7
0.247311827956989,0.596774193548387,0.489247311827957,0.747311827956989,0.672043010752688,0.741935483870968,0.0974038086428582,0.0293168637502643,8
0.263440860215054,0.758064516129032,0.387096774193548,0.903225806451613,0.704301075268817,0.741935483870968,0.0586379574255049,0.00214687822618303,9
0.279569892473118,0.731182795698925,0.655913978494624,0.860215053763441,0.747311827956989,0.725806451612903,0.0521499732118636,0.00604368054734055,10
0.274193548387097,0.344086021505376,0.591397849462366,0.564516129032258,0.811827956989247,0.747311827956989,0.038427480890586,0.00102255513902965,11
0.306451612903226,0.623655913978495,0.672043010752688,0.795698924731183,0.865591397849462,0.709677419354839,-0.0608570430602518,-0.0315065922809952,12
0.360215053763441,0.526881720430108,0.672043010752688,0.774193548387097,0.801075268817204,0.731182795698925,0.0366707639816262,0.0393786236799507,13
0.5,0.553763440860215,0.940860215053763,0.860215053763441,0.854838709677419,0.725806451612903,0.0211078285169777,-0.0124986701511406,14
0.456989247311828,0.747311827956989,0.698924731182796,0.860215053763441,0.924731182795699,0.779569892473118,-0.0502534491486471,-0.0239555808376892,15
0.306451612903226,0.779569892473118,0.494623655913978,0.860215053763441,0.650537634408602,0.709677419354839,0.0531733713366004,0.00198310518788316,16
0.376344086021505,0.516129032258065,0.602150537634409,0.618279569892473,0.758064516129032,0.661290322580645,0.0386739059724942,0.00464986722182833,17
0.516129032258065,0.811827956989247,0.618279569892473,0.897849462365591,0.78494623655914,0.790322580645161,-0.0466840086934451,-0.00668146331048614,18
0.301075268817204,0.516129032258065,0.532258064516129,0.801075268817204,0.817204301075269,0.758064516129032,-0.00861332146618209,0.0256819058968646,19
0.21505376344086,0.532258064516129,0.543010752688172,0.736559139784946,0.71505376344086,0.693548387096774,-0.0588843321692865,-0.0034499273270985,20
0.532258064516129,0.693548387096774,0.704301075268817,0.870967741935484,0.93010752688172,0.78494623655914,0.0607141617449498,0.0115331260594255,21
0.446236559139785,0.731182795698925,0.833333333333333,0.860215053763441,0.838709677419355,0.774193548387097,-0.0246147439143165,-0.0117270985498625,22
