"p.blocks","c.blocks","p.type","c.type","p.autocorr","c.autocorr","r2","simnumber","nsim","ol","rrmse","srmse","p.catch","c.catch","hol","hrmse","efficiency"
10,5,"ar1","random",0.5,NA,0.1,96,NA,0.935483870967742,81.9501365801234,81.4018143602259,0.674418604651163,0.533980582524272,1,82.2667562077674,0.586369437671215
10,5,"ar1","random",0.8,NA,0.1,123,NA,1,66.2395288336814,65.9888046599829,0.558139534883721,0.194174757281553,0.994623655913978,66.7144985811778,0.893308111501224
10,5,"ar1","randomwalk",0.2,NA,0.1,60,NA,0.989247311827957,15.0555745791953,15.0262252520628,0.581395348837209,0.252427184466019,0.994623655913978,15.0721398083769,1.00931252319656
10,5,"ar1","randomwalk",0.5,NA,0.1,105,NA,0.913978494623656,81.805021113939,82.2561562200884,0.674418604651163,0.436893203883495,1,82.7990399020534,0.648612512017427
10,5,"ar1","randomwalk",0.8,NA,0.1,132,NA,1,145.641076403613,145.647007695308,0.674418604651163,0.184466019417476,1,146.288141333217,0.630670193267143
10,5,"random","ar1",NA,0.2,0.1,15,NA,0.994623655913978,21.3561743565432,21.4126687406427,0.720930232558139,0.495145631067961,1,21.5815783759255,0.50895043754378
10,5,"random","ar1",NA,0.5,0.1,150,NA,1,89.467972615501,89.7846206680081,0.651162790697674,0.466019417475728,0.967741935483871,90.4464941349851,0.575940697538056
10,5,"random","ar1",NA,0.8,0.1,195,NA,1,136.447816626814,136.792797991179,0.627906976744186,0.242718446601942,1,137.006101462356,0.552759421984512
10,5,"random","random",NA,NA,0.1,42,NA,1,58.9004851469715,58.9172018919129,0.674418604651163,0.242718446601942,1,59.4558095007718,0.628114455026645
10,5,"random","randomwalk",NA,NA,0.1,69,NA,1,86.7607880633648,86.4531191269245,0.465116279069767,0.0388349514563107,1,87.3072436552211,0.685785351044962
10,5,"randomwalk","ar1",NA,0.2,0.1,24,NA,1,39.3981155423473,39.308600814382,0.534883720930233,0.087378640776699,1,39.3856740180499,0.668463246999682
10,5,"randomwalk","ar1",NA,0.5,0.1,159,NA,1,51.9501091494556,52.0402559120057,0.534883720930233,0.135922330097087,1,52.2389258341637,0.590858880470916
10,5,"randomwalk","ar1",NA,0.8,0.1,204,NA,1,32.3461129432242,32.2361980181148,0.604651162790698,0.436893203883495,1,32.3888259660381,0.771341242051408
10,5,"randomwalk","random",NA,NA,0.1,51,NA,0.994623655913978,150.485981920882,150.979234420771,0.697674418604651,0.446601941747573,1,151.699925034063,0.471036029428353
10,5,"randomwalk","randomwalk",NA,NA,0.1,78,NA,0.973118279569892,66.1049850188138,66.0411520680687,0.581395348837209,0.116504854368932,1,66.2519910233205,0.660841386017028
3,10,"ar1","ar1",0.2,0.2,0.1,7,NA,0.989247311827957,92.9712173541982,93.335447501511,0.488372093023256,0.233009708737864,0.983870967741935,93.8691037987775,0.646737952031784
3,10,"ar1","ar1",0.2,0.5,0.1,142,NA,1,79.0623104759785,78.8820428016116,0.604651162790698,0.271844660194175,0.994623655913978,79.4123370574851,0.748611824224755
3,10,"ar1","ar1",0.2,0.8,0.1,187,NA,1,25.0946495326569,25.1263739416969,0.651162790697674,0.427184466019418,1,25.3998285120027,0.832996057111762
3,10,"ar1","ar1",0.5,0.2,0.1,88,NA,0.935483870967742,44.2969430611967,44.1747634685883,0.558139534883721,0.466019417475728,1,44.3650045309352,0.730456704628412
3,10,"ar1","ar1",0.5,0.5,0.1,169,NA,0.876344086021505,60.9348799444215,60.9379644179597,0.651162790697674,0.446601941747573,1,61.3162247739839,0.765302561433051
3,10,"ar1","ar1",0.5,0.8,0.1,214,NA,1,40.4777456984233,40.6640900101312,0.581395348837209,0.407766990291262,1,41.0684600399347,0.798875207026209
3,10,"ar1","ar1",0.8,0.2,0.1,115,NA,1,82.0801863690028,82.242570298119,0.744186046511628,0.41747572815534,1,82.7901621622142,0.722219715622366
3,10,"ar1","ar1",0.8,0.5,0.1,178,NA,1,60.3249646742355,60.3575365931365,0.558139534883721,0.398058252427185,1,61.0201190080997,1.09271424593679
3,10,"ar1","ar1",0.8,0.8,0.1,223,NA,1,44.1548274946929,44.0526039273698,0.651162790697674,0.543689320388349,1,44.1701464377367,0.591210202483235
3,10,"ar1","random",0.2,NA,0.1,34,NA,0.994623655913978,76.1262275719243,76.4495524230384,0.395348837209302,0.0485436893203883,1,76.9801759467777,0.629612378094115
3,10,"ar1","random",0.5,NA,0.1,97,NA,1,4.96452058660714,4.9431984363256,0.511627906976744,0.145631067961165,1,5.00452835389263,0.719046724383886
3,10,"ar1","random",0.8,NA,0.1,124,NA,0.967741935483871,37.0109186734591,36.9270756901277,0.581395348837209,0.485436893203884,1,37.1088307974123,0.587484692633851
3,10,"ar1","randomwalk",0.2,NA,0.1,61,NA,1,13.469255473977,13.4331501951902,0.488372093023256,0.213592233009709,1,13.514925064355,1.0648103598464
3,10,"ar1","randomwalk",0.5,NA,0.1,106,NA,1,51.3831305072795,51.1832635938808,0.372093023255814,0.087378640776699,1,51.4075993980906,0.835473243352053
3,10,"ar1","randomwalk",0.8,NA,0.1,133,NA,1,7.28411171823041,7.29362753918559,0.627906976744186,0.427184466019418,1,7.37072790347889,0.800525080843808
3,10,"random","ar1",NA,0.2,0.1,16,NA,0.983870967741935,35.7411852504952,35.7770384192774,0.604651162790698,0.41747572815534,1,36.0479775311119,0.676129106706184
3,10,"random","ar1",NA,0.5,0.1,151,NA,0.994623655913978,66.5836373525522,66.6923166642038,0.511627906976744,0.427184466019418,1,67.6946769498003,0.777097725056073
3,10,"random","ar1",NA,0.8,0.1,196,NA,0.865591397849462,74.088968860128,73.842135650736,0.511627906976744,0.0776699029126213,1,74.349535132061,0.705681119024715
3,10,"random","random",NA,NA,0.1,43,NA,1,16.2320146041811,16.2315352017814,0.604651162790698,0.145631067961165,1,16.4329720315153,0.799955700770052
3,10,"random","randomwalk",NA,NA,0.1,70,NA,1,86.3224977664265,86.2260606256819,0.534883720930233,0.475728155339806,1,87.3612369924142,0.596136930046563
3,10,"randomwalk","ar1",NA,0.2,0.1,25,NA,1,61.621451627699,61.4329818937963,0.581395348837209,0.233009708737864,0.983870967741935,61.5917128636368,0.747356110801484
3,10,"randomwalk","ar1",NA,0.5,0.1,160,NA,1,6.84811755469037,6.83540414673663,0.558139534883721,0.203883495145631,1,6.85904303646544,0.601580598720763
3,10,"randomwalk","ar1",NA,0.8,0.1,205,NA,0.983870967741935,53.8798892495782,54.2343611009836,0.558139534883721,0.436893203883495,1,54.3607281640509,0.518755012307234
3,10,"randomwalk","random",NA,NA,0.1,52,NA,1,20.7552272190973,20.7837981537448,0.488372093023256,0.12621359223301,1,20.9284763744818,0.615855722369442
3,10,"randomwalk","randomwalk",NA,NA,0.1,79,NA,0.897849462365591,6.62045858692153,6.62325287324041,0.488372093023256,0.0970873786407767,1,6.65397411978419,0.608468517990397
3,3,"ar1","ar1",0.2,0.2,0.1,1,NA,1,94.8941383571123,94.9558970607371,1.02325581395349,0.757281553398058,1,95.8828476457666,0.66507594861907
3,3,"ar1","ar1",0.2,0.5,0.1,136,NA,1,86.6965925469467,87.0867770646052,0.488372093023256,0.213592233009709,1,87.9516839127375,0.913507994347443
3,3,"ar1","ar1",0.2,0.8,0.1,181,NA,1,60.3159576301143,60.34227925419,0.488372093023256,0.233009708737864,1,60.647958935873,0.70349755259829
3,3,"ar1","ar1",0.5,0.2,0.1,82,NA,0.989247311827957,76.4773622046879,76.2724278148553,0.674418604651163,0.514563106796116,1,76.6945320503333,0.607616436552597
3,3,"ar1","ar1",0.5,0.5,0.1,163,NA,1,124.081558385232,123.272255208941,0.604651162790698,0.466019417475728,1,123.6759547015,0.506010563308118
3,3,"ar1","ar1",0.5,0.8,0.1,208,NA,1,85.0876948551282,84.8224644847148,0.604651162790698,0.504854368932039,1,85.4148376878453,0.545987072703599
3,3,"ar1","ar1",0.8,0.2,0.1,109,NA,0.688172043010753,101.79393474633,101.789445081169,0.441860465116279,0.252427184466019,1,102.043761070945,0.622552367625044
3,3,"ar1","ar1",0.8,0.5,0.1,172,NA,1,46.7328399344748,46.7695919611474,0.511627906976744,0.495145631067961,1,47.0444987229336,0.643697582919291
3,3,"ar1","ar1",0.8,0.8,0.1,217,NA,0.897849462365591,76.0496354687839,76.0107205603486,0.488372093023256,0.194174757281553,0.973118279569892,76.2399843828251,0.626599642562557
3,3,"ar1","random",0.2,NA,0.1,28,NA,1,60.8950833035469,60.9301887214043,0.604651162790698,0.485436893203884,1,61.906513548566,0.602202509614307
3,3,"ar1","random",0.5,NA,0.1,91,NA,1,32.2643133220829,32.3345450630779,0.534883720930233,0.533980582524272,1,32.7140480515187,0.643028651293726
3,3,"ar1","random",0.8,NA,0.1,118,NA,0.994623655913978,35.5755630442553,35.5973367662365,0.511627906976744,0.611650485436893,0.994623655913978,35.9532011775511,1.15619474981276
3,3,"ar1","randomwalk",0.2,NA,0.1,55,NA,1,26.8797757228145,26.8469856536266,0.418604651162791,0.233009708737864,1,27.0551923116425,0.879254289831638
3,3,"ar1","randomwalk",0.5,NA,0.1,100,NA,1,8.51352892758073,8.51524727487624,0.651162790697674,0.495145631067961,1,8.54285186420085,0.663890056388808
3,3,"ar1","randomwalk",0.8,NA,0.1,127,NA,0.913978494623656,17.768757998378,17.8977236333646,0.651162790697674,0.233009708737864,1,18.029568088322,0.944794208280031
3,3,"random","ar1",NA,0.2,0.1,10,NA,0.849462365591398,94.3771172352717,94.8975412191658,0.674418604651163,0.533980582524272,1,96.2651584619093,0.614145610284069
3,3,"random","ar1",NA,0.5,0.1,145,NA,1,40.2976130566605,40.4896662549534,0.604651162790698,0.572815533980582,1,40.7759292708441,0.939826302109463
3,3,"random","ar1",NA,0.8,0.1,190,NA,1,54.7095390832541,54.930444355366,0.511627906976744,0.475728155339806,1,55.2908054772282,1.0662747115799
3,3,"random","random",NA,NA,0.1,37,NA,1,57.6704669657976,57.7595795211309,0.558139534883721,0.475728155339806,1,58.3662109030564,0.784994597246847
3,3,"random","randomwalk",NA,NA,0.1,64,NA,1,1.45197863799966,1.44404833650096,0.581395348837209,0.466019417475728,0.994623655913978,1.46088614182245,0.772868825007004
3,3,"randomwalk","ar1",NA,0.2,0.1,19,NA,0.973118279569892,49.4022695027982,49.439963134279,0.651162790697674,0.563106796116505,1,49.8730564256925,1.00739937403503
3,3,"randomwalk","ar1",NA,0.5,0.1,154,NA,1,1.1264706780691,1.12190412727494,0.534883720930233,0.310679611650485,1,1.12865446735008,0.809690723017153
3,3,"randomwalk","ar1",NA,0.8,0.1,199,NA,1,69.1634247365751,69.0412412001729,0.511627906976744,0.563106796116505,1,69.2771766106491,0.805524397637788
3,3,"randomwalk","random",NA,NA,0.1,46,NA,1,56.5799547254129,56.7784280784929,0.627906976744186,0.572815533980582,1,57.4482713510472,0.531601358322
3,3,"randomwalk","randomwalk",NA,NA,0.1,73,NA,1,35.4329590489411,35.210099963027,0.604651162790698,0.466019417475728,1,35.4083054800864,0.606478004330473
3,5,"ar1","ar1",0.2,0.2,0.1,4,NA,0.903225806451613,66.7362032033045,66.6069162073922,0.627906976744186,0.427184466019418,1,67.2134681248205,0.797519148513974
3,5,"ar1","ar1",0.2,0.5,0.1,139,NA,1,66.0371055506025,65.9997479227335,0.534883720930233,0.553398058252427,1,66.7817162565025,0.619883744356901
3,5,"ar1","ar1",0.2,0.8,0.1,184,NA,1,90.2505008072345,90.3789222962138,0.534883720930233,0.223300970873786,1,91.5417536336512,1.00782079429352
3,5,"ar1","ar1",0.5,0.2,0.1,85,NA,0.451612903225806,56.4264630364042,56.5738609701252,0.627906976744186,0.553398058252427,1,57.0530244005059,0.622781405074044
3,5,"ar1","ar1",0.5,0.5,0.1,166,NA,1,95.5959981492463,95.3498881777765,0.581395348837209,0.446601941747573,1,96.0494673110593,0.99864150033486
3,5,"ar1","ar1",0.5,0.8,0.1,211,NA,0.946236559139785,75.3912575229292,75.5101422265104,0.511627906976744,0.456310679611651,1,76.129385800158,1.02237500514763
3,5,"ar1","ar1",0.8,0.2,0.1,112,NA,0.956989247311828,78.1669302951316,78.549544122267,0.627906976744186,0.543689320388349,1,79.0461359975864,0.871443505744235
3,5,"ar1","ar1",0.8,0.5,0.1,175,NA,1,10.6411720240298,10.6534388249549,0.441860465116279,0.0679611650485437,1,10.6779294158308,0.970216287331626
3,5,"ar1","ar1",0.8,0.8,0.1,220,NA,1,34.9062924458149,34.8771233162208,0.674418604651163,0.456310679611651,1,35.0170176549344,0.621638690808236
3,5,"ar1","random",0.2,NA,0.1,31,NA,1,24.1305543422042,24.1176103907645,0.395348837209302,0.271844660194175,1,24.4130239982031,0.664814648843018
3,5,"ar1","random",0.5,NA,0.1,94,NA,1,8.6593132737573,8.62946882634446,0.627906976744186,0.456310679611651,1,8.73256614300313,0.975382449107737
3,5,"ar1","random",0.8,NA,0.1,121,NA,0.994623655913978,81.3712800007404,81.0868708719085,0.651162790697674,0.466019417475728,1,82.5441610497015,0.827515299310155
3,5,"ar1","randomwalk",0.2,NA,0.1,58,NA,1,6.32073425314714,6.32546461650379,0.744186046511628,0.446601941747573,1,6.42616787064978,0.746321852325971
3,5,"ar1","randomwalk",0.5,NA,0.1,103,NA,0.564516129032258,69.6428357348161,69.8668786498272,0.674418604651163,0.203883495145631,1,70.300552548403,0.549559012777446
