"simnumber","sws.ol1","hapc.ol1","sws.ol2","hapc.ol2","sws.s","hapc.s","sws.d","hapc.d","bf.i05","bf.i01","bf.i001","r.w","r.r2","w.r2","p.blocks","c.blocks","p.type","c.type","p.autocorr","c.autocorr","r2","nsim","ol","rrmse","srmse","p.catch","c.catch","hol","hrmse","efficiency"
12,0.462365591397849,0.623655913978495,0.854838709677419,0.78494623655914,0.870967741935484,0.71505376344086,-0.0234441141359415,0.00691844906353603,"***","***","***",NA,1.02348651583494,1.29056538444724,10,3,"random","ar1",NA,0.2,0.1,NA,0.994623655913978,53.9042335697885,53.8473690441606,0.604651162790698,0.436893203883495,1,54.4730281133142,0.690854533909598
13,0.344086021505376,0.564516129032258,0.56989247311828,0.795698924731183,0.865591397849462,0.779569892473118,-0.0120568361003702,-0.00896051933565078,"***","***","***",NA,1.00041598316457,1.29056983093442,3,5,"random","ar1",NA,0.2,0.1,NA,1,1.32605828471415,1.31878696708754,0.534883720930233,0.58252427184466,1,1.33943439028726,0.753189066251469
14,0.446236559139785,0.682795698924731,0.844086021505376,0.838709677419355,0.854838709677419,0.736559139784946,0.0470991395646407,0.0222711542191486,"***","***","***",NA,1.02808315219023,1.29056982072787,5,5,"random","ar1",NA,0.2,0.1,NA,1,13.3652389753625,13.4099630776266,0.697674418604651,0.436893203883495,1,13.54501367385,0.686005462893933
15,0.446236559139785,0.763440860215054,0.67741935483871,0.860215053763441,0.924731182795699,0.779569892473118,-0.0522625818608387,-0.0368948432392351,"***","***","***",NA,1.03654978278856,1.29056064155818,10,5,"random","ar1",NA,0.2,0.1,NA,0.994623655913978,21.3561743565432,21.4126687406427,0.720930232558139,0.495145631067961,1,21.5815783759255,0.50895043754378
16,0.333333333333333,0.838709677419355,0.537634408602151,0.908602150537634,0.688172043010753,0.768817204301075,0.055365677138824,0.0130142476520638,"***","***","***",NA,1.02791298074632,1.2110263661946,3,10,"random","ar1",NA,0.2,0.1,NA,0.983870967741935,35.7411852504952,35.7770384192774,0.604651162790698,0.41747572815534,1,36.0479775311119,0.676129106706184
17,0.344086021505376,0.521505376344086,0.532258064516129,0.67741935483871,0.768817204301075,0.682795698924731,0.0815734388689904,0.0437383240063619,"***","***","***",NA,0.999430675183488,1.28970938567301,5,10,"random","ar1",NA,0.2,0.1,NA,1,48.064321629452,48.3587084882702,0.627906976744186,0.41747572815534,1,49.1516023145528,0.718768532190086
18,0.591397849462366,0.801075268817204,0.82258064516129,0.903225806451613,0.833333333333333,0.811827956989247,-0.018321453433487,0.0268531729034522,"***","***","***",NA,1.00503694511431,1.29058019019587,10,10,"random","ar1",NA,0.2,0.1,NA,1,50.4945193406475,50.5973277542255,0.697674418604651,0.504854368932039,1,50.8197047845166,0.669282281262421
19,0.301075268817204,0.5,0.580645161290323,0.811827956989247,0.844086021505376,0.747311827956989,-0.000224497809290504,0.0360971234699836,"***","***","***",NA,1.0071356310922,1.29221871274278,3,3,"randomwalk","ar1",NA,0.2,0.1,NA,0.973118279569892,49.4022695027982,49.439963134279,0.651162790697674,0.563106796116505,1,49.8730564256925,1.00739937403503
20,0.236559139784946,0.537634408602151,0.591397849462366,0.790322580645161,0.720430107526882,0.67741935483871,-0.0699584135074297,-0.0155776188208768,"***","***","***",NA,1.01010817876319,1.29056983093396,5,3,"randomwalk","ar1",NA,0.2,0.1,NA,0.973118279569892,16.9309466185697,16.9288426839454,0.697674418604651,0.533980582524272,1,17.1011265333818,0.55988185047448
21,0.489247311827957,0.698924731182796,0.709677419354839,0.870967741935484,0.919354838709677,0.790322580645161,0.0562820766492039,0.00784034309330698,"***","***","***",NA,1.0070706683769,1.15878549570622,10,3,"randomwalk","ar1",NA,0.2,0.1,NA,1,57.8008451159456,57.797100044546,0.511627906976744,0.0970873786407767,1,58.0405919549055,0.603163550820081
