"p.blocks","c.blocks","p.type","c.type","p.autocorr","c.autocorr","r2","nsim","ol","rrmse","srmse","p.catch","c.catch"
10,5,"ar1","random",0.5,NA,0.1,NA,0.935483870967742,81.9501365801234,81.4018143602259,0.674418604651163,0.533980582524272
10,5,"ar1","ar1",0.8,0.8,0.1,NA,1,124.163022599147,124.1011255233,0.697674418604651,0.543689320388349
3,10,"ar1","ar1",0.8,0.8,0.1,NA,1,44.1548274946929,44.0526039273698,0.651162790697674,0.543689320388349
3,10,"ar1","random",0.5,NA,0.1,NA,1,4.96452058660714,4.9431984363256,0.511627906976744,0.145631067961165
5,10,"ar1","ar1",0.8,0.8,0.1,NA,1,90.9969499907709,90.9729940731309,0.674418604651163,0.233009708737864
5,10,"ar1","random",0.5,NA,0.1,NA,0.989247311827957,68.9832829225478,68.8988731072005,0.697674418604651,0.504854368932039
10,10,"ar1","ar1",0.8,0.8,0.1,NA,0.838709677419355,7.16498855711816,7.16938406298919,0.511627906976744,0.271844660194175
10,10,"ar1","random",0.5,NA,0.1,NA,1,52.5089536004054,52.4863388853832,0.813953488372093,0.466019417475728
3,3,"ar1","randomwalk",0.5,NA,0.1,NA,1,8.51352892758073,8.51524727487624,0.651162790697674,0.495145631067961
3,10,"ar1","ar1",0.2,0.5,0.1,NA,1,79.0623104759785,78.8820428016116,0.604651162790698,0.271844660194175
