"p.blocks","c.blocks","p.type","c.type","hetvar","useGSS","p.autocorr","c.autocorr","r2","simnumber","ol","rrmse","srmse","p.catch","c.catch","hol","hrmse","efficiency"
10,10,"randomwalk","ar1",TRUE,TRUE,NA,0.5,0.1,27,0.990740740740741,118.541787289896,118.639524823752,0.674418604651163,0.421052631578947,1,118.734373592973,0.592160633425158
3,3,"ar1","random",TRUE,TRUE,0.5,NA,0.1,28,0.99537037037037,24.4174220182226,24.4138267273313,0.372093023255814,0.298245614035088,1,24.6921339990788,0.763665616342403
5,3,"ar1","random",TRUE,TRUE,0.5,NA,0.1,29,1,116.757639365542,116.208311406253,0.627906976744186,0.570175438596491,1,117.373451843437,0.726120349591314
10,3,"ar1","random",TRUE,TRUE,0.5,NA,0.1,30,0.986111111111111,148.078431145075,148.577384490132,0.534883720930233,0.543859649122807,1,150.099607285285,0.77809509695798
3,5,"ar1","random",TRUE,TRUE,0.5,NA,0.1,31,0.990740740740741,46.8994278520469,46.9037307635947,0.581395348837209,0.5,0.99537037037037,47.4118615660335,0.696170599496937
5,5,"ar1","random",TRUE,TRUE,0.5,NA,0.1,32,0.99537037037037,27.2825275388227,27.3060813709309,0.348837209302326,0.359649122807018,1,27.5839395313634,0.653299753457184
10,5,"ar1","random",TRUE,TRUE,0.5,NA,0.1,33,0.972222222222222,12.7449996937934,12.7302033788227,0.325581395348837,0.280701754385965,1,12.8238948268854,0.67912641162692
3,10,"ar1","random",TRUE,TRUE,0.5,NA,0.1,34,1,74.5545308652124,74.2320157659626,0.511627906976744,0.5,0.884259259259259,74.6004716335014,0.630390660169881
5,10,"ar1","random",TRUE,TRUE,0.5,NA,0.1,35,0.990740740740741,48.3239735117946,48.0493891048654,0.395348837209302,0.228070175438597,1,48.1555555463112,0.620282279221903
10,10,"ar1","random",TRUE,TRUE,0.5,NA,0.1,36,0.99537037037037,118.466246177837,119.192997631156,0.325581395348837,0.254385964912281,1,119.448657889419,0.49049133438549
3,3,"random","random",TRUE,TRUE,NA,NA,0.1,37,0.953703703703704,129.841187629361,129.906172569396,0.558139534883721,0.464912280701754,1,132.280368580122,0.686007752920819
5,3,"random","random",TRUE,TRUE,NA,NA,0.1,38,0.986111111111111,61.5448080622879,61.8110476653799,0.651162790697674,0.552631578947368,1,63.0179640203411,1.15693497808713
10,3,"random","random",TRUE,TRUE,NA,NA,0.1,39,0.990740740740741,134.216880441493,134.276432933561,0.511627906976744,0.5,1,136.114162616827,0.648297324992975
3,5,"random","random",TRUE,TRUE,NA,NA,0.1,40,1,182.66986882546,182.524609401625,0.651162790697674,0.517543859649123,1,184.750032212627,0.642068336328339
5,5,"random","random",TRUE,TRUE,NA,NA,0.1,41,0.930555555555556,156.891732761284,156.858836213934,0.348837209302326,0.271929824561403,1,158.196039681283,0.542509484484592
10,5,"random","random",TRUE,TRUE,NA,NA,0.1,42,1,253.67682915613,253.220171155225,0.581395348837209,0.473684210526316,1,255.217260538081,0.598426754087021
3,10,"random","random",TRUE,TRUE,NA,NA,0.1,43,0.99537037037037,7.91868137007325,7.94193570066897,0.372093023255814,0.254385964912281,1,8.03957738248887,0.654499933427256
5,10,"random","random",TRUE,TRUE,NA,NA,0.1,44,0.990740740740741,115.511846038282,115.179449362118,0.697674418604651,0.5,0.990740740740741,115.977799070309,0.996551217061949
10,10,"random","random",TRUE,TRUE,NA,NA,0.1,45,1,135.755360149161,135.874878690975,0.418604651162791,0.0789473684210527,0.976851851851852,136.532384379087,0.757319272276255
3,3,"randomwalk","random",TRUE,TRUE,NA,NA,0.1,46,0.990740740740741,312.558785007582,312.030977202912,0.418604651162791,0.201754385964912,1,313.535717978076,0.46776584398284
5,3,"randomwalk","random",TRUE,TRUE,NA,NA,0.1,47,0.814814814814815,67.0102094550909,66.8742271827527,0.604651162790698,0.482456140350877,0.990740740740741,67.2841195456838,0.733850801251278
10,3,"randomwalk","random",TRUE,TRUE,NA,NA,0.1,48,0.888888888888889,92.0294096873081,91.9461725854902,0.534883720930233,0.570175438596491,1,93.6493084805041,0.501468356478343
3,5,"randomwalk","random",TRUE,TRUE,NA,NA,0.1,49,1,93.569775348096,94.0872910635498,0.604651162790698,0.508771929824561,1,94.9162627389806,0.73594218717683
